	PRESF	PASTF	LEMMAF	 REG	NULL	X->{	X->$t	5->u	g5->wEnt
@r2v->@-r2vd	157	396	3073	1	0	0	0	0	0
{d->{-dId	377	395	4190	1	0	0	0	0	0
rIt3n->rI-t3nd	1787	395	5608	1	0	0	0	0	0
f$s->f$st	2589	391	5959	1	0	0	0	0	0
l3n->l3nd	540	383	5524	1	0	0	0	0	0
dIvEl@p->dI-vE-l@pt	330	379	4492	1	0	0	0	0	0
Ikspirrirns->Ik-spir-rirnst	3443	375	4854	1	0	0	0	0	0
dIs@p4nt->dIs-@-p4n-tId	10	372	51	1	0	0	0	0	0
rIkw23->rI-kw2-3d	188	371	3391	1	0	0	0	0	0
S5->S5d	1870	369	9624	1	0	0	0	0	0
@kVst@m->@-kV-st@md	4	367	23	1	0	0	0	0	0
rirl2z->rir-l2zd	347	366	3628	1	0	0	0	0	0
2s@l1t->2-s@-l1-tId	21	362	212	1	0	0	0	0	0
d{m->d{md	457	359	734	1	0	0	0	0	0
k@nfjuz->k@n-fjuzd	28	355	370	1	0	0	0	0	0
l2k->l2kt	32790	354	37758	1	0	0	0	0	0
Inkl2n->In-kl2nd	21	353	119	1	0	0	0	0	0
@gri->@-grid	360	352	3424	1	0	0	0	0	0
rIm1n->rI-m1nd	389	346	4696	1	0	0	0	0	0
dIstINgwIS->dI-stIN-gwISt	86	346	568	1	0	0	0	0	0
pr@djus->pr@-djust	570	344	4544	1	0	0	0	0	0
rIpit->rI-pi-tId	127	344	1207	1	0	0	0	0	0
sk1r->sk1rd	71	344	201	1	0	0	0	0	0
kIl->kIld	387	343	3835	1	0	0	0	0	0
dIskr2b->dI-skr2bd	168	341	2950	1	0	0	0	0	0
t$k->t$kt	1728	340	9967	1	0	0	0	0	0
bIliv->bI-livd	1289	337	7649	1	0	0	0	0	0
s@_Est->s@-_E-stId	338	334	4108	1	0	0	0	0	0
Inklud->In-klu-dId	242	334	2274	1	0	0	0	0	0
Qf3->Q-f3d	932	333	4410	1	0	0	0	0	0
spES@l2z->spE-S@-l2zd	18	333	180	1	0	0	0	0	0
wQJ->wQJt	984	332	5193	1	0	0	0	0	0
sm2l->sm2ld	1418	328	4380	1	0	0	0	0	0
hIt->hIt	324	324	1988	0	1	0	0	0	0
pIk->pIkt	314	323	3418	1	0	0	0	0	0
@ksEpt->@k-sEp-tId	426	322	3712	1	0	0	0	0	0
r1z->r1zd	204	318	3147	1	0	0	0	0	0
gr5->gru	420	316	6112	0	0	0	0	1	0
b2->b$t	565	316	4598	0	0	0	1	0	0
pUl->pUld	408	316	3479	1	0	0	0	0	0
E_Uk1t->E-_U-k1-tId	26	315	324	1	0	0	0	0	0
kQns@ntr1t->kQn-s@n-tr1-tId	152	309	1124	1	0	0	0	0	0
kVv3->kV-v3d	1033	308	4158	1	0	0	0	0	0
dIprEs->dI-prEst	8	303	124	1	0	0	0	0	0
rIsiv->rI-sivd	209	300	2835	1	0	0	0	0	0
n5tIs->n5-tIst	1010	297	3266	1	0	0	0	0	0
Ikspl1n->Ik-spl1nd	372	294	3606	1	0	0	0	0	0
dIskVv3->dI-skV-v3d	200	293	2499	1	0	0	0	0	0
lVv->lVvd	4614	284	8329	1	0	0	0	0	0
f1l->f1ld	163	282	2608	1	0	0	0	0	0
{ns3->{n-s3d	2165	280	5435	1	0	0	0	0	0
kwQlIf2->kwQ-lI-f2d	35	280	316	1	0	0	0	0	0
hElp->hElpt	3500	278	9379	1	0	0	0	0	0
rImEmb3->rI-mEm-b3d	1147	278	6538	1	0	0	0	0	0
Inkris->In-krist	1211	277	5339	1	0	0	0	0	0
fIl->fIld	202	277	2494	1	0	0	0	0	0
rIstrIkt->rI-strIk-tId	27	277	244	1	0	0	0	0	0
drQp->drQpt	616	275	3137	1	0	0	0	0	0
Ing1_->In-g1_d	57	274	795	1	0	0	0	0	0
k$z->k$zd	1553	273	4906	1	0	0	0	0	0
Ist{blIS->I-st{-blISt	156	272	2227	1	0	0	0	0	0
sk{t3->sk{-t3d	44	267	340	1	0	0	0	0	0
@fEkt->@-fEk-tId	129	264	1323	1	0	0	0	0	0
$d3->$-d3d	4499	260	6723	1	0	0	0	0	0
pl1s->pl1st	9474	259	13293	1	0	0	0	0	0
rIliv->rI-livd	43	258	415	1	0	0	0	0	0
pVz@l->pV-z@ld	115	257	391	1	0	0	0	0	0
l{f->l{ft	558	255	3511	1	0	0	0	0	0
wVnd3->wVn-d3d	814	250	3751	1	0	0	0	0	0
TrVst->TrVst	250	250	594	0	1	0	0	0	0
tVJ->tVJt	1150	249	2989	1	0	0	0	0	0
v1rrI->v1r-rId	105	249	1010	1	0	0	0	0	0
dIz2n->dI-z2nd	1261	247	3009	1	0	0	0	0	0
m{nI_->m{-nI_d	170	245	2289	1	0	0	0	0	0
pVblIS->pV-blISt	57	244	1545	1	0	0	0	0	0
splIt->splIt	242	242	810	0	1	0	0	0	0
tiJ->t$t	226	241	2558	0	0	0	1	0	0
_VstIf2->_V-stI-f2d	73	240	509	1	0	0	0	0	0
pUS->pUSt	350	239	2458	1	0	0	0	0	0
n5t->n5-tId	1257	239	3145	1	0	0	0	0	0
p{k->p{kt	329	238	1041	1	0	0	0	0	0
bit->bit	237	237	1736	0	1	0	0	0	0
mEnS@n->mEn-S@nd	395	236	2252	1	0	0	0	0	0
dEdIk1t->dE-dI-k1-tId	9	235	181	1	0	0	0	0	0
Inf$m->In-f$md	43	234	656	1	0	0	0	0	0
l1->l1d	868	232	2391	1	0	0	0	0	0
rIpl2->rI-pl2d	583	232	2098	1	0	0	0	0	0
pruv->pruvd	278	231	2674	1	0	0	0	0	0
f$m->f$md	4221	231	7867	1	0	0	0	0	0
rIfjuz->rI-fjuzd	191	231	2102	1	0	0	0	0	0
rImuv->rI-muvd	177	230	1869	1	0	0	0	0	0
rEk@gn2z->rE-k@g-n2zd	259	229	2467	1	0	0	0	0	0
w1t->w1-tId	628	228	5851	1	0	0	0	0	0
kri1t->kri-1-tId	266	227	2870	1	0	0	0	0	0
nQd->nQ-dId	143	227	1554	1	0	0	0	0	0
pr5lQN->pr5-lQNd	12	227	95	1	0	0	0	0	0
In_3->In-_3d	7	225	180	1	0	0	0	0	0
rIt23->rI-t2-3d	49	224	561	1	0	0	0	0	0
drEs->drEst	1378	219	3029	1	0	0	0	0	0
@p4nt->@-p4n-tId	19	219	465	1	0	0	0	0	0
l5k1t->l5-k1-tId	34	217	276	1	0	0	0	0	0
h5p->h5pt	1599	212	5518	1	0	0	0	0	0
Tr5->Tru	308	212	2979	0	0	0	0	1	0
rIgQrd->rI-gQr-dId	488	212	2209	1	0	0	0	0	0
_4n->_4nd	293	211	2596	1	0	0	0	0	0
@pl2->@-pl2d	217	210	2111	1	0	0	0	0	0
IkwIp->I-kwIpt	8	210	179	1	0	0	0	0	0
@Jiv->@-Jivd	207	208	2121	1	0	0	0	0	0
SEd->SEd	207	207	500	0	1	0	0	0	0
st1r->st1rd	160	205	2313	1	0	0	0	0	0
st1->st1d	740	201	4547	1	0	0	0	0	0
@S$r->@-S$d	61	201	691	1	0	0	0	0	0
@k3r->@-k3d	178	199	2232	1	0	0	0	0	0
Intr@djus->In-tr@-djust	101	199	1626	1	0	0	0	0	0
IntEnd->In-tEn-dId	67	199	1425	1	0	0	0	0	0
@n6ns->@-n6nst	42	199	1334	1	0	0	0	0	0
End->En-dId	7558	198	10306	1	0	0	0	0	0
sItjU1t->sI-tjU-1-tId	2	198	11	1	0	0	0	0	0
rIp$t->rI-p$-tId	1999	195	4504	1	0	0	0	0	0
Ent3->En-t3d	211	194	2309	1	0	0	0	0	0
b3st->b3st	193	193	912	0	1	0	0	0	0
blEs->blEst	47	193	315	1	0	0	0	0	0
dIskVs->dI-skVst	228	192	2306	1	0	0	0	0	0
s3v->s3vd	350	191	2758	1	0	0	0	0	0
n1m->n1md	4736	191	7051	1	0	0	0	0	0
st1t->st1-tId	5221	190	6698	1	0	0	0	0	0
k@mp1r->k@m-p1rd	87	189	1511	1	0	0	0	0	0
fIt->fI-tId	689	189	1969	1	0	0	0	0	0
@kjuz->@-kjuzd	23	188	648	1	0	0	0	0	0
Qrgju->Qr-gjud	168	187	2130	1	0	0	0	0	0
trit->tri-tId	240	187	1882	1	0	0	0	0	0
dIst3b->dI-st3bd	37	185	779	1	0	0	0	0	0
rIdjus->rI-djust	179	183	2127	1	0	0	0	0	0
sElIbr1t->sE-lI-br1-tId	48	182	409	1	0	0	0	0	0
S1p->S1pt	1132	181	1728	1	0	0	0	0	0
Igz{_@r1t->Ig-z{-_@-r1-tId	20	181	231	1	0	0	0	0	0
In_4->In-_4d	309	180	2656	1	0	0	0	0	0
JQr_->JQr_d	1221	178	2517	1	0	0	0	0	0
wIS->wISt	777	177	3841	1	0	0	0	0	0
IksprEs->Ik-sprEst	385	177	2101	1	0	0	0	0	0
@r1n_->@-r1n_d	128	177	1587	1	0	0	0	0	0
prIzEnt->prI-zEn-tId	3984	176	5744	1	0	0	0	0	0
Insp23->In-sp2-3d	25	175	428	1	0	0	0	0	0
kr2->kr2d	476	173	2684	1	0	0	0	0	0
k@nEkt->k@-nEk-tId	34	173	720	1	0	0	0	0	0
f1v3->f1-v3d	1041	173	1536	1	0	0	0	0	0
prQmIs->prQ-mIst	589	172	2029	1	0	0	0	0	0
t5->t5	172	172	530	0	1	0	0	0	0
S1r->S1rd	934	170	3308	1	0	0	0	0	0
@dmIt->@d-mI-tId	233	170	1747	1	0	0	0	0	0
pl{n->pl{nd	1399	169	5429	1	0	0	0	0	0
dIkl1r->dI-kl1rd	49	168	989	1	0	0	0	0	0
f1s->f1st	7400	167	10686	1	0	0	0	0	0
S6t->S6-tId	179	166	1725	1	0	0	0	0	0
Inv2t->In-v2-tId	80	166	1206	1	0	0	0	0	0
rIf2n->rI-f2nd	5	164	97	1	0	0	0	0	0
kr{k->kr{kt	298	160	754	1	0	0	0	0	0
dIt{J->dI-t{Jt	6	159	99	1	0	0	0	0	0
dIstr4->dI-str4d	189	158	1860	1	0	0	0	0	0
lQk->lQkt	228	158	1381	1	0	0	0	0	0
@s5SI1t->@-s5-SI-1-tId	78	157	1111	1	0	0	0	0	0
drINk->dr{Nk	1596	155	4175	0	0	1	0	0	0
krQs->krQst	677	155	1973	1	0	0	0	0	0
p1nt->p1n-tId	507	155	1748	1	0	0	0	0	0
h{nd->h{n-dId	7971	155	14241	1	0	0	0	0	0
sVf3->sV-f3d	183	154	2156	1	0	0	0	0	0
rIz3v->rI-z3vd	328	154	948	1	0	0	0	0	0
stVdI->stV-dId	1938	153	5059	1	0	0	0	0	0
k@mb2n->k@m-b2nd	115	152	1260	1	0	0	0	0	0
k@nf2n->k@n-f2nd	19	151	431	1	0	0	0	0	0
rut->ru-tId	377	150	946	1	0	0	0	0	0
priQkjUp2->pri-Q-kjU-p2d	2	150	23	1	0	0	0	0	0
@b{nd@n->@-b{n-d@nd	100	149	1010	1	0	0	0	0	0
s6nd->s6n-dId	2494	148	5110	1	0	0	0	0	0
pr@p5z->pr@-p5zd	56	148	1132	1	0	0	0	0	0
@sjum->@-sjumd	189	147	1968	1	0	0	0	0	0
lIft->lIf-tId	463	146	1974	1	0	0	0	0	0
l$d->l$d	146	146	249	1	0	0	0	0	0
s@p$t->s@-p$-tId	2578	145	4511	1	0	0	0	0	0
InkVrI_->In-kV-rI_d	160	145	1925	1	0	0	0	0	0
InsIst->In-sI-stId	91	142	1393	1	0	0	0	0	0
dIv2d->dI-v2-dId	133	141	1221	1	0	0	0	0	0
lIs@n->lI-s@nd	347	140	3175	1	0	0	0	0	0
rIpl1s->rI-pl1st	116	140	1349	1	0	0	0	0	0
prEs->prEst	1929	138	3367	1	0	0	0	0	0
p@zEs->p@-zEst	83	138	850	1	0	0	0	0	0
tr1n->tr1nd	1266	137	2520	1	0	0	0	0	0
kl1m->kl1md	815	136	2829	1	0	0	0	0	0
@bz3v->@b-z3vd	86	136	1235	1	0	0	0	0	0
TrEt@n->TrE-t@nd	50	136	1127	1	0	0	0	0	0
t2->t2d	416	136	1712	1	0	0	0	0	0
@p5z->@-p5zd	44	136	1081	1	0	0	0	0	0
kVltIv1t->kVl-tI-v1-tId	24	136	251	1	0	0	0	0	0
rIvil->rI-vild	108	135	1412	1	0	0	0	0	0
@t{J->@-t{Jt	34	135	878	1	0	0	0	0	0
JEk->JEkt	553	134	2046	1	0	0	0	0	0
p$r->p$d	110	133	1413	1	0	0	0	0	0
sik->s$t	195	132	2147	0	0	0	1	0	0
vIzIt->vI-zI-tId	1107	132	3279	1	0	0	0	0	0
h1t->h1-tId	450	132	1915	1	0	0	0	0	0
mEZ3->mE-Z3d	767	132	1949	1	0	0	0	0	0
flVS->flVSt	109	132	348	1	0	0	0	0	0
s1v->s1vd	352	131	2265	1	0	0	0	0	0
rEprIzEnt->rE-prI-zEn-tId	142	131	1829	1	0	0	0	0	0
g{D3->g{-D3d	104	131	1374	1	0	0	0	0	0
dIs@pir->dIs-@-pird	79	131	1234	1	0	0	0	0	0
pr{ktIs->pr{k-tIst	95	130	870	1	0	0	0	0	0
k@nt1n->k@n-t1nd	154	129	2244	1	0	0	0	0	0
mIs->mIst	229	129	1620	1	0	0	0	0	0
IkstEnd->Ik-stEn-dId	93	129	1330	1	0	0	0	0	0
SVt->SVt	129	129	1280	0	1	0	0	0	0
h3t->h3t	129	129	1235	0	1	0	0	0	0
k@ntr5l->k@n-tr5ld	3411	127	5140	1	0	0	0	0	0
bErI->bE-rId	48	127	898	1	0	0	0	0	0
dIm{nd->dI-m{n-dId	1390	126	3584	1	0	0	0	0	0
5n->5nd	15905	124	17340	1	0	0	0	0	0
Im3_->I-m3_d	103	124	1433	1	0	0	0	0	0
pr@n6ns->pr@-n6nst	22	123	263	1	0	0	0	0	0
str1n->str1nd	532	122	992	1	0	0	0	0	0
dIgnIf2->dIg-nI-f2d	2	122	19	1	0	0	0	0	0
kl2m->kl2md	331	121	1900	1	0	0	0	0	0
Impl4->Im-pl4d	104	121	1137	1	0	0	0	0	0
rI_Ekt->rI-_Ek-tId	74	120	1085	1	0	0	0	0	0
s{tIsf2->s{-tIs-f2d	84	120	1016	1	0	0	0	0	0
stEp->stEpt	1232	119	2871	1	0	0	0	0	0
dIrEkt->dI-rEk-tId	1524	119	2424	1	0	0	0	0	0
rIflEkt->rI-flEk-tId	106	118	1396	1	0	0	0	0	0
r5l->r5ld	281	118	1610	1	0	0	0	0	0
rIlis->rI-list	481	118	1459	1	0	0	0	0	0
gr{nt->gr{n-tId	384	118	1451	1	0	0	0	0	0
IgzIst->Ig-zI-stId	285	117	2361	1	0	0	0	0	0
@kw23->@-kw2-3d	77	116	1035	1	0	0	0	0	0
s@r6nd->s@-r6n-dId	26	116	885	1	0	0	0	0	0
gl{ns->gl{nst	492	116	1477	1	0	0	0	0	0
l{nd->l{n-dId	4455	116	5152	1	0	0	0	0	0
g1n->g1nd	370	115	2054	1	0	0	0	0	0
strEJ->strEJt	503	115	1765	1	0	0	0	0	0
Iksp5z->Ik-sp5zd	59	115	875	1	0	0	0	0	0
s@ksid->s@k-si-dId	106	114	1187	1	0	0	0	0	0
kIs->kIst	298	114	1368	1	0	0	0	0	0
Inl2t@n->In-l2-t@nd	5	114	48	1	0	0	0	0	0
2dEntIf2->2-dEn-tI-f2d	124	113	1223	1	0	0	0	0	0
k@mp5z->k@m-p5zd	25	113	472	1	0	0	0	0	0
p$z->p$zd	409	112	1166	1	0	0	0	0	0
Impruv->Im-pruvd	188	111	1685	1	0	0	0	0	0
prIf3r->prI-f3d	188	111	1472	1	0	0	0	0	0
Igz{mIn->Ig-z{-mInd	130	111	1387	1	0	0	0	0	0
@dQpt->@-dQp-tId	89	111	1048	1	0	0	0	0	0
k@mplit->k@m-pli-tId	1607	111	2418	1	0	0	0	0	0
@kVmp@nI->@-kVm-p@-nId	36	111	858	1	0	0	0	0	0
hVrI->hV-rId	334	111	991	1	0	0	0	0	0
s@spEkt->s@-spEk-tId	297	109	1360	1	0	0	0	0	0
QkjUp2->Q-kjU-p2d	53	109	911	1	0	0	0	0	0
w$n->w$nd	51	109	883	1	0	0	0	0	0
kr{mp->kr{mpt	42	109	98	1	0	0	0	0	0
Ign$r->Ig-n$d	114	108	1264	1	0	0	0	0	0
tEnd->tEn-dId	295	107	2336	1	0	0	0	0	0
wQS->wQSt	266	107	1783	1	0	0	0	0	0
@pr5J->@-pr5Jt	1446	107	3024	1	0	0	0	0	0
lin->lind	225	107	1480	1	0	0	0	0	0
k@lEkt->k@-lEk-tId	117	107	1254	1	0	0	0	0	0
slIp->slIpt	261	107	1351	1	0	0	0	0	0
rIk$d->rI-k$-dId	1247	107	2724	1	0	0	0	0	0
dEstIn->dE-stInd	0	107	30	1	0	0	0	0	0
fir->fird	2248	106	4032	1	0	0	0	0	0
rIl{ks->rI-l{kst	78	106	958	1	0	0	0	0	0
k@nv3t->k@n-v3-tId	73	106	700	1	0	0	0	0	0
b{l@ns->b{-l@nst	1383	106	1920	1	0	0	0	0	0
@kVmplIS->@-kVm-plISt	22	106	269	1	0	0	0	0	0
Im{_In->I-m{-_Ind	385	105	2221	1	0	0	0	0	0
@tEmpt->@-tEmp-tId	1459	105	3374	1	0	0	0	0	0
@pruv->@-pruvd	58	105	802	1	0	0	0	0	0
v{nIS->v{-nISt	26	105	729	1	0	0	0	0	0
dIl2t->dI-l2-tId	432	105	1119	1	0	0	0	0	0
s@bdju->s@b-djud	6	105	57	1	0	0	0	0	0
wIsp3->wI-sp3d	219	104	1018	1	0	0	0	0	0
Int2t@l->In-t2-t@ld	3	104	549	1	0	0	0	0	0
p@f$m->p@-f$md	142	103	1398	1	0	0	0	0	0
IndIk1t->In-dI-k1-tId	115	103	1348	1	0	0	0	0	0
ImprEs->Im-prEst	44	103	695	1	0	0	0	0	0
IlEkt->I-lEk-tId	32	103	632	1	0	0	0	0	0
SQk->SQkt	941	103	1553	1	0	0	0	0	0
{_It1t->{-_I-t1-tId	2	102	25	1	0	0	0	0	0
klir->klird	4089	101	5108	1	0	0	0	0	0
s@v2v->s@-v2vd	189	100	1603	1	0	0	0	0	0
@t{k->@-t{kt	1648	100	3246	1	0	0	0	0	0
dIf2n->dI-f2nd	83	100	990	1	0	0	0	0	0
dIsEnd->dI-sEn-dId	28	100	448	1	0	0	0	0	0
p6d3->p6-d3d	331	100	403	1	0	0	0	0	0
s2n->s2nd	1621	99	3374	1	0	0	0	0	0
m1nt1n->m1n-t1nd	208	98	1713	1	0	0	0	0	0
tr{v@l->tr{-v@ld	687	98	2227	1	0	0	0	0	0
dIn2->dI-n2d	109	98	1172	1	0	0	0	0	0
nQk->nQkt	189	98	1098	1	0	0	0	0	0
@bt1n->@b-t1nd	140	97	1207	1	0	0	0	0	0
rIz2n->rI-z2nd	44	97	424	1	0	0	0	0	0
bl5->blu	440	96	1988	0	0	0	0	1	0
sEp@r1t->sE-p@-r1-tId	1145	96	1981	1	0	0	0	0	0
prInt->prIn-tId	381	96	1116	1	0	0	0	0	0
Igz$st->Ig-z$-stId	71	96	688	1	0	0	0	0	0
prIskr2b->prI-skr2bd	17	96	204	1	0	0	0	0	0
drEd->drE-dId	142	96	287	1	0	0	0	0	0
k@ntEnt->k@n-tEn-tId	644	96	1302	1	0	0	0	0	0
@tEnd->@-tEn-dId	143	95	1340	1	0	0	0	0	0
rIm2nd->rI-m2n-dId	90	95	1093	1	0	0	0	0	0
ISu->I-Sud	1589	95	3267	1	0	0	0	0	0
k@nf3m->k@n-f3md	57	94	795	1	0	0	0	0	0
SElt3->SEl-t3d	373	94	620	1	0	0	0	0	0
l3n->l3nt	540	93	5524	1	0	0	0	0	0
{kt->{k-tId	2547	92	4973	1	0	0	0	0	0
kUk->kUkt	381	92	1613	1	0	0	0	0	0
f23->f2-3d	2654	92	3765	1	0	0	0	0	0
@rEst->@-rE-stId	241	92	886	1	0	0	0	0	0
_Vmp->_Vmpt	210	91	1337	1	0	0	0	0	0
k@nklud->k@n-klu-dId	39	91	763	1	0	0	0	0	0
lINk->lINkt	392	91	1439	1	0	0	0	0	0
hit->hi-tId	2005	91	2468	1	0	0	0	0	0
spQt->spQ-tId	755	91	1386	1	0	0	0	0	0
s5k->s5kt	32	91	309	1	0	0	0	0	0
vEst->vE-stId	86	91	155	1	0	0	0	0	0
s2->s2d	210	90	782	1	0	0	0	0	0
f6nd->f6n-dId	1726	90	544	1	0	0	0	0	0
EstIm1t->E-stI-m1-tId	272	89	1088	1	0	0	0	0	0
b$r->b$d	208	89	708	1	0	0	0	0	0
pr@tEkt->pr@-tEk-tId	212	88	1534	1	0	0	0	0	0
r{p->r{pt	40	88	644	1	0	0	0	0	0
krUk->krUkt	89	88	124	1	0	0	0	0	0
sIlEkt->sI-lEk-tId	184	87	909	1	0	0	0	0	0
l5d->l5-dId	435	87	1049	1	0	0	0	0	0
mjut->mju-tId	56	86	94	1	0	0	0	0	0
@tr{kt->@-tr{k-tId	92	85	968	1	0	0	0	0	0
dr2->dr2d	1459	85	2310	1	0	0	0	0	0
w1v->w1vd	739	85	2093	1	0	0	0	0	0
dQmIn1t->dQ-mI-n1-tId	44	85	759	1	0	0	0	0	0
f5ld->f5l-dId	93	85	851	1	0	0	0	0	0
b5->b5d	270	85	673	1	0	0	0	0	0
@v4d->@-v4-dId	337	84	2057	1	0	0	0	0	0
bIlQN->bI-lQNd	133	84	1483	1	0	0	0	0	0
sIN->s{N	102	84	1407	0	0	1	0	0	0
l$nJ->l$nJt	185	84	876	1	0	0	0	0	0
rIstr1n->rI-str1nd	24	83	232	1	0	0	0	0	0
lIb@r1t->lI-b@-r1-tId	15	83	195	1	0	0	0	0	0
rIprEs->rI-prEst	10	83	100	1	0	0	0	0	0
b3n->b3nd	213	82	1783	1	0	0	0	0	0
rVS->rVSt	304	82	1185	1	0	0	0	0	0
dIlIv3->dI-lI-v3d	74	82	834	1	0	0	0	0	0
rEk@mEnd->rE-k@-mEn-dId	65	82	776	1	0	0	0	0	0
k@ndVkt->k@n-dVk-tId	314	82	959	1	0	0	0	0	0
p@sw1d->p@-sw1-dId	116	81	980	1	0	0	0	0	0
dr{g->dr{gd	170	81	981	1	0	0	0	0	0
l53->l5-3d	1570	81	1425	1	0	0	0	0	0
@bl2_->@-bl2_d	18	80	490	1	0	0	0	0	0
sis->sist	64	79	676	1	0	0	0	0	0
dIsmIs->dIs-mIst	39	79	626	1	0	0	0	0	0
InvEnt->In-vEn-tId	37	79	594	1	0	0	0	0	0
